Text,Label
"Madaxa Kooxda Barcelona, Laporta ayaa xaqiijiyay in la soo gabagabeeyay heshiis ay la gaareen kooxda Atletico Madrid, kaas oo ah in xiddigga lagu magacaabo Antoine Griezmann uu kooxdaas ugu biiro lacag dhan 20 milyan oo euro oo ay raaci karto 5 milyan oo dheeraad ah oo ku xiran bandhiggiisa, sida uu qoray weriye Fabrizio Romano.

Heshiiskan ayaa yimid kaddib waqti dheer oo labada koox ay ku kala siyaasad duwanaayeen qaabka uu ku dhamaan karo iyo qiimaha uu ku soo afjarmi karo heshiis amaah ahaa oo ciyaaryahan uu kula joogay Atletico.

Tababaraha kooxda Atletico Madrid Diego Simeone, ayaa sheegay in ciyaartooydiisa ay soo bandhigaan qaab-ciyaareed wanaagsan marka uu shaxda ku jiro ama uu ciyaarayo Antoine Griezmann, balse maxay tahay sababta xiddiggaas loo geliyo keydka ilaa nus saaca ugu dambeeya kulamada xilli ciyaareedkan?

Inkastoo uu ciyaaro saddex meelood meel daqiiqadaha uu heli karo guud ahaan ciyaarta, haddana ciyaaryahankan khadka dhexe ugu dheela xulka Faransiiska ayaa ah laacibka labaad ee ugu goolasha badan kooxdaas, marka laga soo tago Alvaro Morata.

Griezmann ayaa sanadkii 2019 amaah ahaan Atletico Madrid uga soo biiray Barcelona, isla kooxdaas oo horay looga iibsaday lacag dhan £108m.

Saddex sano kaddib, waxaa uu weli yahay ciyaaryahankii 6-aad ee ugu qaalisan taariikhda kubbadda cagta.
Run ahaantii Griezmann wuu rumeysan kari waayay nasiibkiisa, maaddaama uu jecel yahay kooxda Atletico si la mid ah ciyaaryahan kasta oo u safta kooxdaas.

Labada koox ayaa gaaray heshiis amaah ah oo soconaya muddo labo sano ah, kaas oo dhigaya in haddii Griezmann uu ciyaaro in ka badan 45 daqiiqo kulan kasta, oo ah boqolkiiba 50%, ay Atletico ku qasbanaan doonto in ay Barcelona siiso lacag gaareysa 40 milyan, si uu heshiiska rasmiga ah u dhaqangalo.",HUMAN
"Ra'iisul Wasaare Maxamed Xuseen Rooble ayaa daah-furay imtixaanka shahaadiga ah ee dugsiyada sare oo maanta si rasmi ah uga bilaabmay qaar kamid ah gobollada dalka.

newsinsideImtixaankan oo ay u fariisteen arday tiradoodu gaarayso 35,000 (Soddon iyo Shan kun) oo arday, ayuu Ra'iisul Wasaaruhu ka daah-furay Muqdisho, waxana uu Ardayda Imtixaanka gelaysa, bahda waxbarashada iyo cid kasta oo imtixaanka gacanta ku haysaba kula dardaarmay inay u hoggaansamaan shuruucda Imtixaanka oo uu sheegay in waqti badan la galiyey.

Ra'iisul Wasaare Rooble ayaa si gaar ah ula dardaarmay ardayda Imtixaanka shahaadiga u fariisanaysa guud ahaanba dalka, waxaa uuna xasuusiyey inuu mustaqbalkoodu gacantooda ku jiro, loogana baahan yahay inay maanta sii diyaarsadaan sida uu mustaqbalkoodu u ekaan doono iyo kaalinta ay nolosha ka geli doonaan.

Imtixaanka shahaadiga ah ee dugsiyada sare waxaa uu ka dhacayaa gobolka Banaadir, Koonfur Galbeed, Jubbaland, Hirshabeelle iyo Galmudug, waxaanan ka qeyb galayn Puntland.

Wasaaradda waxbarashada ayaa sheegtay in magaalada Baxdo oo shalay uu ka dhacay dagaal xooggan oo khasare lagu gaarsiiyay Alshabab ay kamid tahay meelaha imtixaanka lagu galayo oo dowladdu amnigeeda ay sugtay.

Abdiweli M. Sheikh, Hiiraan Online",HUMAN
"Maxamed Farax oo u orda Britain, walaakii ka yar ayaa dib loogu celiyay Jamhuuriyadda Iskeed Madax-bannanida ugu dhawaaqday ee Somaliland, ""halkaas oo uu hoy la'aan ku yahay"", sida uu qoray wargeyska Mirror ee ka soo baxa UK. ""Hadda marba meel baan seexdaa, mana jirto meel aan ku tilmaami karo gurigeyga. Qoyskeyga waxaan u jiraa masaafo 4,000 oo mile ah. Qoyskeyga ma arag seddax sano. Hooyadeey, walaalkey, dhiigeyga"".

Axmed farax waxaa UK laga soo musaafuriyay sannadkii 2016-kii ka dib markii xabsi laga sii daayay, sida wargeyskaas uu ku soo bandhigay wareysi gaar ah oo uu la yeeshay Mo Farax walaalkii.

Dowladda UK waxay musaafurin kartaa dadka ajaaniibta ah waa haddii ay xabsi galaan in ka badan 12 bilood. Illaa 45 kun oo qof oo dembiyo kala duwan geystay ayaa Britain laga musaafuriyay tan iyo 2010-kii.

Axmed Farax wuxuu xabsi ku jiray afar sano iyo bar ka dib markii uu ku lug yeeshay weerar mindi, sida wargeyska Mirror uu ku warramay.

Wuxuu Britain gaaray sannadkii 1991-dii, xilligii ay bilowdeen dagaalladii sokeeye ee Soomaaliya. Wuxuu markaas jiray seddax sano balse weligii ma helin sharciga Britain, sida wargeyskaas uu qoray.

Mirror ayaa soo xigtay isagoo sheegaya in uusan aqoon u lahayn Soomaaliya, uusanna haysan lacag uu nolol cusub ku bilaabo.

""Waa baqayay. Waxaa la igu soo dhex tuuray meel shisheeye ii ah aniga. Amakaag ayey hannaaka ku noqotay. Qorshe dhan ma lahayn iyo wax la mid ah, shilinna ma haysan, mana haysan qoys i daryeela"", ayuu yiri.

""Muddo waxaan deganaa hotel. Ugu dambeyn waxaan helay adeer gurigiisa i geeyay. In muddo ah ayaan la noolaa.""",HUMAN
"Weeraryahanka Ajax iyo xulka Brazil Antony, oo 22 jir ah, waxaa 'ka go'an' inuu ku biiro Manchester United xagaagan. (waxaa qoray wargayska Goal)

Paris St-Germain ayaa dooneysa inay iska iibiso Neymar haddii ay hesho dalab la aqbali karo oo ku aaddan weeraryahanka reer Brazil, inkastoo 30-sano jirkan uusan dooneyn inuu ka tago kooxda heysata horyaalka Faransiiska. (waxaa qoray wargayska Goal)

Daafaca dambe ee dhinaca midig ee Manchester United Brandon Williams, oo 21 jir ah, ayaa lagu iibin karaa 10 milyan oo ginni. (waxaa qoray wargayska The Sun)

Ajax ayaa qarka u saaran inay dalab kale ka gudbiso garabka Tottenham Hotspur iyo Netherlands Steven Bergwijn, oo 24 jir ah, laakiin kooxda Premier League ka tirsan ayaan aqbali doonin wax ka hooseeya 25 milyan oo ginni (Waxaa qoray Sky Sports)

Southampton ayaa isku dayday inay joojiso xiisaha Manchester City, Manchester United, Tottenham iyo West Ham ay u qabaan 27 jirka khadka dhexe ee England James Ward-Prowse kaasoo lagu qiimeeyo 75 milyan oo ginni. (Waxaa qoray Give Me Sport)

Madaxa fulinta Bayern Munich, Oliver Kahn, ayaa sheegay in uu filayo in weeraryahanka Poland Robert Lewandowski, oo 33 jir ah, uu sii joogo kooxda heysata horyaalka Jarmalka xagaagan. (Waxaa qoray Sky Sports)

Manchester City ayaa wadahadallo horumar leh ugu jirta si ay u soo afjarto saxiixa daafaca Brighton iyo xulka Spain Marc Cucurella, oo 23 jir ah (Waxaa qoray Insider)

Leeds United ayaa isha ku haysa saxiixa garabka PSV Eindhoven iyo xulka Netherland Cody Gakpo, oo 23 jir ah, xagaagan si ay ugu beddelaan weeraryahanka Brazil Raphinha, oo 25 jir ah, kaasoo diirada u saaran Arsenal. (Waxaa qoray Foot Mercato - oo ku baxa af Faransiis)",HUMAN
"Wasiiru Dowlaha Wasaaradda Waxbarashada, Hiddaha iyo Tacliinta Sare Mudane Cabdiraxmaan Maxamed Cabdulle, ayaa magaalada Dooxa ee dalka Qadar heshiis Is-afgarad ah (MoU) kula saxiixday hay'adda Qatar Fund.

newsinsideHeshiiskan ayaa lagu sheegay in lagu xoojinayo iskaashiga dhanka waxbarashada ee dowladaha Soomaaliya iyo Qadar. Sidoo kalana lagu taageerayo waxbarashada ubadka Soomaaliyeed ee aan fursadda u helin in ay aadan dugsiyada.

Labada dhinac ayaa ka filayay heshiiskan in uu kor u qaadi doono tayada waxbarashada dalka iyo la dagaallanka heerka jahliga ee bulshada Soomaaliyeed.

Wasiiru Dowlaha Cabdiraxmaan Maxamed Cabdulle, oo ka hadlayey saxiixa heshiiskan ayaa yiri “Waxbarashada ubadka Soomaaliyeed waa mudnaanta koowaad ee dowladeenna. Heshiiskan Is-afagradka ah waa mid aan ku dardar gelinayno dadaalka aannu ku bixinayno in aannu ardayda Soomaaliyeed gaarsiinno waxbarasho tayo sare leh, sidoo kale na kaga fogaanayno in jiilal badan oo gaaray xilligii waxbarashadu ay seegaan dugsiyada”.

Tayada waxbarashada dalka Soomaaliya ayaa aad u hooseysa maadaama dalka uu muddo kabadan 30 sannadood  kusoo jiray dagaallo sokeeye balse dowladda ayaa dhowaan diyaarisay manhaj waxbarasho oo ka kooban dugsiyada hoose, dhexe iyo sare.

Hassan Istiila, Hiiraan Online",HUMAN
"Jean-Pierre Adams, oo ah ciyaartooy hore oo u dhashay Faransiiska oo 39 sano miyir la'aa ayaa ku geeriyooday da'da 73.

Ciyaartooygan waxaa la seexiyay cisbitaal sanadkii 1982 kadib markii la doonayay in qalliin looga sameeyo jilibka.

Waxaana dhacay qaladaad markii la siinayay dawada dadka lagu suuxiyo ka hor qalliinka.

Jean-Pierre Adams, wuxuu ku dhashay dalka Senegal, wuxuu daafaca uga dheeli jiray kooxda Nice oo uu uga soo muuqday in ka badan 140 ciyaarood, sidoo kale wuxuu usoo dheelay kooxda ka dhisan Faransiiska ee Paris St-Germain.

Bayaan kasoo baxay kooxda PSG ayaa lagu sheegay in Adams uu ahaa 'Ciyaartooy khibrad leh oo karti leh'

Kooxda Nice ayaa tacsi u dirtay qoyska Adam-kaas oo ku guuleystay 22 koob gudaha Faransiiska intii u dhexeeysay 1972 ilaa 1976.

Adams wuxuu kasoo muuqday 84 ciyaarood oo u dheelay kooxda Nimes oo sheegtay in ""tacsi ay u dirayaan qoyska iyo ehelada ciyaartooyga""

Maalintii la doonayay in Adams qalliinka looga sameeyo jilibkiisa-shaqaalihii cisbitaalka Lyon waxay maalintaas ku maqnaayeen shaqo gadood.",HUMAN
"Wasaaradda waxbarashada Soomaaliya ayaa soo bandhigtay sida ay u qeybisay deeq waxbarasho Soomaaliya ay ka heshay dalka Masar, taasoo isugu jirta waxbarashada sare ee heer koowaad iyo heerka labaad.

newsinsideQoraal ku taariikhaysanaa bishii june dhammaadeedkii ayaa dowlad goboleedyada lagu wargaliyay inay soo gudbiyaan ardayda buuxisay sharuudaha deeqda waxbarashada, ugu dambayn 20-kii bishii 7-aad ee tagtay.

Gobolka Banaadir ayaa ah gobolka ugu badan ee wasaaraddu siisay deeqda waxbarashada, wuxuuna ka helay 40 arday, halka dowlad goboleedyada iyo Somaliland ay heleen mid 25 arday oo deeq waxbarasho ah.

Qeybsiga deeqaha waxbarasho waa mid kamid ah arrimaha ay aadka isugu khilaafaan dowladda federalka iyo dowlad goboleedyada. Inkastoo marar badan laga gaaray heshiisyo arrintan, haddana dowladda dhexe ayaa lagu eedeeyaa inaysan si caddaalad ah u qeybin fursadaha waxbarasho ee dibadda.",HUMAN
"Feeryahanka caanka ah ee Khabib Nurmagomedov ayaa noqday xiddiga ciyaaraha caalamka ee sanadkan ee BBC-da.

Khabib oo ah muwaadin u dhashay dalka Ruushka oo 32 sano jir ah ayaa baal dahab ah ka galay tartanka addimo-dirirka kaddib markii guushiisii 29-aad uu kaga badiyay Justin Gaethje bishii bishii Oktobar.

Ninkan ku guuleystay horyaalka miisaanka fudud ee UFC ayaa tartankii addimo-dirirka ee ugu dambeeyay galay bilo uun kaddib markii uu dhintay aabihii Abdulmanap oo ahaa tababarihiisa iyo la taliyihiisa.

Khabib oo dadka qaar ay u arkaan ninka ugu addimo-dirirka wanaasgan ee wakhtigan ayaa tartankaasii ka fariistay isla markii uu ka guuleystay Justin Gaethje, guushaasi oo noqoneyso tii 29-aad ee uu ka soo hooyo tartankaasi.

13 ka mid ah 29-ka jeer ee uu ku guuleystay tartankani addimo-dirirka (Mixed Martial Arts) ayaa guushiisu waxay ahayd mid toos ah oo aan ama wakhti loogu darin ama aan lagu celin ciyaarta.

Wuxuu si wanaagsan u difaacay kaalinta uu kaga jiro tartanka miisaanka fudud muddo saddex jeer ah, waxaana loo arkaa inuu yahay mid ka mid ah ciyaartoyda ugu sarreysa taariikhda tartamada addimo-dirirka. Khabib Nurmagomedov ayaa tartanka codeynta xiddiga ciyaaraha caalamka ee sanadkan ee BBC-da waxaa uu kaga guuleystay cayaaryahanno ay ka mid yihiin vaulter Armand Duplantis oo reer Sweden ah, ciyaaryahanka kubadda koleyga ee Mareykanka u dhashay LeBron James, Dustin Johnson, ciyaaryahanka kubadda cagta ee Wendie Renard, iyo sidoo kale feeryahanka Katie Taylor.

Tartankan xiddiga isboortiga caalamka ee BBC-da ee sanadkii hore waxaa ku guuleystay Eliud Kipchoge oo muddo afar jeer ah ku guuleystay tartanka orodda dheer ee marathon-ka.",HUMAN
"Wasaaradda waxbarashada Soomaaliya ayaa soo bandhigtay sida ay u qeybisay deeq waxbarasho Soomaaliya ay ka heshay dalka Masar, taasoo isugu jirta waxbarashada sare ee heer koowaad iyo heerka labaad.

newsinsideQoraal ku taariikhaysanaa bishii june dhammaadeedkii ayaa dowlad goboleedyada lagu wargaliyay inay soo gudbiyaan ardayda buuxisay sharuudaha deeqda waxbarashada, ugu dambayn 20-kii bishii 7-aad ee tagtay.

Gobolka Banaadir ayaa ah gobolka ugu badan ee wasaaraddu siisay deeqda waxbarashada, wuxuuna ka helay 40 arday, halka dowlad goboleedyada iyo Somaliland ay heleen mid 25 arday oo deeq waxbarasho ah.

Qeybsiga deeqaha waxbarasho waa mid kamid ah arrimaha ay aadka isugu khilaafaan dowladda federalka iyo dowlad goboleedyada. Inkastoo marar badan laga gaaray heshiisyo arrintan, haddana dowladda dhexe ayaa lagu eedeeyaa inaysan si caddaalad ah u qeybin fursadaha waxbarasho ee dibadda.",HUMAN
"Kooxda Kubadda Cagta Manchester United ayaa shaqada tababarenimo ka ceyrisay Ole Gunnar Solskjaer kadib guul-darradii xooganeyd ee Sabtidii ku dhacday iyo hal guul oo kaliya toddobadii kulan ee ugu dambeeyey.

“Manchester United waxay ku dhowaaqeysa in Ole Gunnar Solskjaer uu ka tegay xilkiisa macallinimo ee kooxda,” ayaa lagu yiri bayaan kasoo baxay kooxda.

“Ole waxa uu weligiis ahaan doonaa halyey Manchester United, waxaan aad uga xunnahay inaan gaarnay go’aankan adag.”

Kooxda ayaa sheegtay in kulamada soo socda uu tababare kooxda usii ahaan doono Michael Carrick oo ka mid ahaa tababarayaasha ka hoos shaqeynayey Ole, illaa laga magacaabayo tababare ku-meel gaar ah oo xilli cayaareedka dhammeeya.

Kooxda Watford oo ka mid ah kuwa ugu hooseeya kala horeynta horyaalka Premier League ayaa habeenkii Sabtida 4-1 kaga adkaatay Manchester United.

Kahor kulankaas waxaa kooxda 2-0 ku garaacday Manchester City, ayada oo toddobaadyo kahorna guul-darro xooggan oo 5-0 ah ay kala kulantay kooxda ay xifaaltamaan ee Liverpool.",HUMAN
