experiment,family,model,accuracy_previous,accuracy_balanced,accuracy_delta,precision_previous,precision_balanced,precision_delta,recall_previous,recall_balanced,recall_delta,f1_previous,f1_balanced,f1_delta,macro_f1_previous,macro_f1_balanced,macro_f1_delta
experiment_1_stopwords_included,traditional_ml,LinearSVC_TFIDF,0.9631,0.9444122756224668,-0.018687724377533188,0.9632,0.9445761979881968,-0.018623802011803137,0.9631,0.9444122756224668,-0.018687724377533188,0.9631,0.9444131702386872,-0.01868682976131275,0.9631,0.9444121078819254,-0.018687892118074534
experiment_2_stopwords_removed,traditional_ml,LinearSVC_TFIDF,0.9529,0.929936305732484,-0.02296369426751599,0.953,0.9300794380540484,-0.0229205619459516,0.9529,0.929936305732484,-0.02296369426751599,0.9529,0.9299377152222856,-0.022962284777714337,0.9529,0.929935929868537,-0.022964070131462955
experiment_1_stopwords_included,traditional_ml,LogisticRegression_TFIDF,0.9506,0.9270411117544876,-0.023558888245512444,0.9509,0.929456099188609,-0.021443900811390915,0.9506,0.9270411117544876,-0.023558888245512444,0.9505,0.9269706130743492,-0.023529386925650764,0.9505,0.9269915423700152,-0.02350845762998477
experiment_1_stopwords_included,transformers,MiniTransformer_Keras,0.9443,0.920092646207296,-0.024207353792704,0.9444,0.920092646207296,-0.02430735379270399,0.9443,0.920092646207296,-0.024207353792704,0.9443,0.920092646207296,-0.024207353792704,0.9443,0.9200829731926572,-0.024217026807342834
experiment_2_stopwords_removed,traditional_ml,LogisticRegression_TFIDF,0.9482,0.918355529820498,-0.02984447017950209,0.9484,0.9206568038531864,-0.027743196146813642,0.9482,0.918355529820498,-0.02984447017950209,0.9481,0.918279599134444,-0.02982040086555604,0.9481,0.9183024988651588,-0.029797501134841253
experiment_1_stopwords_included,deep_learning,BiLSTM_Keras,0.9286,0.9160393746381008,-0.01256062536189917,0.9286,0.9177909280190318,-0.010809071980968143,0.9286,0.9160393746381008,-0.01256062536189917,0.9286,0.9159836117915816,-0.012616388208418372,0.9286,0.9160028753203792,-0.01259712467962082
experiment_2_stopwords_removed,transformers,MiniTransformer_Keras,0.9294,0.9131441806601044,-0.016255819339895616,0.9295,0.9131574730440108,-0.016342526955989145,0.9294,0.9131441806601044,-0.016255819339895616,0.9293,0.913145928083962,-0.016154071916038015,0.9293,0.913137627820638,-0.016162372179362006
experiment_2_stopwords_removed,deep_learning,BiLSTM_Keras,0.9357,0.9090909090909092,-0.026609090909090805,0.9357,0.9101540380170496,-0.025545961982950338,0.9357,0.9090909090909092,-0.026609090909090805,0.9357,0.9090030044169352,-0.02669699558306482,0.9357,0.9089658891101462,-0.02673411088985378
experiment_1_stopwords_included,traditional_ml,RandomForest_TFIDF,0.9051,0.8980891719745223,-0.0070108280254777,0.9055,0.9047827975355832,-0.0007172024644167552,0.9051,0.8980891719745223,-0.0070108280254777,0.9047,0.8977461853141848,-0.0069538146858151295,0.9047,0.8978054284646069,-0.006894571535393079
experiment_2_stopwords_removed,traditional_ml,RandomForest_TFIDF,0.8941,0.8922987840185292,-0.0018012159814707607,0.8945,0.8973298063073458,0.0028298063073458612,0.8941,0.8922987840185292,-0.0018012159814707607,0.8936,0.8920313220187526,-0.0015686779812473794,0.8936,0.8920842572062084,-0.001515742793791519
experiment_1_stopwords_included,traditional_ml,XGBoost_TFIDF,0.9404,0.8807180081065431,-0.05968199189345691,0.9405,0.8883784284204864,-0.05212157157951358,0.9404,0.8807180081065431,-0.05968199189345691,0.9404,0.880231622437886,-0.06016837756211402,0.9404,0.88030863350209,-0.060091366497910026
experiment_2_stopwords_removed,deep_learning,BiLSTM_FastText,0.8957,0.8708743485813549,-0.024825651418645123,0.8958,0.8715418215620564,-0.024258178437943645,0.8957,0.8708743485813549,-0.024825651418645123,0.8954,0.8708501018525027,-0.024549898147497307,0.8954,0.870863264362451,-0.02453673563754899
experiment_2_stopwords_removed,traditional_ml,XGBoost_TFIDF,0.9349,0.8714533873769542,-0.06344661262304574,0.935,0.881680443283165,-0.05331955671683508,0.9349,0.8714533873769542,-0.06344661262304574,0.9349,0.8707196738345854,-0.06418032616541458,0.9349,0.8708192492439069,-0.0640807507560931
experiment_1_stopwords_included,deep_learning,BiLSTM_Word2Vec,0.8965,0.8679791546033584,-0.02852084539664157,0.8966,0.8756601890395898,-0.0209398109604102,0.8965,0.8679791546033584,-0.02852084539664157,0.8962,0.8674209383851379,-0.0287790616148621,0.8962,0.8675078736978115,-0.028692126302188536
experiment_2_stopwords_removed,deep_learning,BiLSTM_Word2Vec,0.8698,0.8656629994209613,-0.004137000579038763,0.8699,0.8662203244365735,-0.003679675563426521,0.8698,0.8656629994209613,-0.004137000579038763,0.8696,0.8656442611760006,-0.003955738823999466,0.8696,0.865655387008946,-0.003944612991054086
experiment_1_stopwords_included,deep_learning,BiLSTM_FastText,0.8871,0.8569774174869716,-0.03012258251302835,0.8872,0.8573223081609744,-0.029877691839025555,0.8871,0.8569774174869716,-0.03012258251302835,0.887,0.8569702243812789,-0.03002977561872111,0.887,0.8569756911416053,-0.030024308858394688
