Text,Label,AiTypeNormalized,CategoryNormalized
wasiirka wasaaradad amniga xukuumadda federaalka ah ee soomaaliya xasan xundubey jimcaale ayaa sheegay in dowladda soomaaliya ay guud xaqiijineyso amniga dalka maadaama la galaayo waqti adag oo doorasho waxaa uu sheegay in sugida amniga kaliya aan qoray loo adeegsan dooninsidoo kale ay wacyigelin ku maareyn doonaan waxaana uu bulshada ugu baqay inay ciidamada amniga kala shaqeeyaan sugida dhinaca amniga wasiirka oo ka hadlayay munaasabad ka dhacday mudisho ayaa sheegay in masuuliyiinta xilka haaya  kuwa hadda doonaya ay jecel yihiin in qof walba waqtiga uu joogo uu amniga hagaagsanaadosidaas daraadeedna ay muhiim tahay in laga wada shaqeeyo  magaaladaan  magaalooyin kale oo badan waxaa ay galayaan doorashooyin anaga amniga ayaa naga quseeyo waxaana ogahay masuuliyiinta xilka haaya iyo kuwa doonaya intaba waxaa ay ka mideysan yihiin dad masuuliyiin soo noqday oo masuuliayda dareesan oo maalintii ay joogeen jeclaa inay waxwalba isku toosnaadaan walaalahooda hadda jooga ragga wax raadinaya u jeclaayeen maalintaas ayay masuuliyiinta hadda jooga u jeel yihiin ayuu yiri wasiir xundubeey sidoo kale wasiirka waxaa uu sheegay in amniga uusan laheyn mucaarad iyo muxaafid waxana uu ugu baaqay masuul kasta ee dalka jooga ama xildoon ah inay amniga wada ilaaliyaan hadalka wasiirka wasaaradad amniga xukuumadda federaalka ah ee soomaaliya xasan xundubey jimcaale ayaa ayaa waxaa uu kusoo aadayaa xilli musharixiinta madaxweynaha soomaaliya ay ku shirsan yihiin muqdisho iyaga oo kasoo horjeestay guddiga doorashooyinka oo ay xukuumadda soomaaliya magacaawday,HUMAN,HUMAN,Unknown
xaafada islii ee soomaalidu u badan tahay ee magaalada nairobi kenya ayaa maanta si wanaagsan looga ciiday ciida oo ah ciidulfitri ayaa maanta si fiican loogu dabbaal dagay dhammaan dalka kenya nairobi iyo gaar ahaan xaafada islii ayadoo shaly ay ahayd dhammaadkii bisha barakaysan ee ramadaan waxaa yimid garoomada iyo masaajida rag dumar yar iyo weyn si wanaagsan u labisan oo dhar wada cusub qabay salaada ciida ayaa garoomo badan oo waaweyn lagu tukaday mid ka mid ah garoomadaa lagu tukuday ciida saaka ayaa ah garoonka weyn ee dugsiga sare ee eastleigh high school garoonkaa oo aad u weyn ayaa dadkii ay buux dhaafiyeen takbiirta saliga nabiga scw iyo ducooyinka ayaan kala go lahayn min bilow ilaa dhammaad ayadoo mashaaikh badan ay halkaa ka duceeyeen khudbadana ay kasoo jeediyeen sidoo kale ayaa waxaa ay mashaaikhdaa iyo culimadii meeshaa ka hadlay kula dardaarmeen ummada muslimiinta ah midnimada inay ku dadaasho iyo xiriirinta qaraabada ayagoo u rajeeyay muslimiinta ciid wanaagsan iyo inay sanadkaan kiisa kale ku gaaraan wanaag ama kheyr iyo caafimaad bartaan hiiraan online maamulkeeda iyo shaqaalaheeda hadaan nahayna waxaanu idin leenahay ciid wanaagsan kullu caam wa antum bikheyr ciid mubaarak,HUMAN,HUMAN,Unknown
ciyaaryahanka khadka dhexe ee tottenham dele alli ayaa maqnaan doona isbuucyo kadib markii uu soo gaaray dhaawac jilibka ah sida uu saxaafada u xaqiijiyay tababaraha kooxda spuers mauricio pochettino 20sano jirkaan ayaa laga saaray xulka tottenham ayaa galabta la ciyaaraya arsenal kulan katirsan premier league iyadoo sidookale uu seegi doono xulka england ee isreebreebka koobka adduunka wajahay scotland iyo ciyaarta saaxiibtinimo ee ka dhanka ah xulka spain waxaa u qaloocday jilibka ayuu yiri pochettino oo saxaafada la hadlay ka hor kulanka arsenal waxaan rajeynayaa in aan helno isaga sida ugu dhaqsiyaha badan waxaa nasiib xumo in xiligaan oo kale ciyaartooy muhiim ah aan weyno ayuu hadalkiisa ku daray waxa uu maqnaan doonaa isbuucyo yar waxaan u baahanahay inaan isaga si deg deg ah u helnaa ayuu yiri pochettino,HUMAN,HUMAN,Unknown
wasiirka wasaaradda cadaaladda dowlad goboleedka puntland cawil sheikh xaamud maxamed ayaa sheegay in degaannada puntland ay dhibaato ku hayaan ka ganacsiga iyo isticmaalka waxyaabaha maanka dooriya kuwaas oo ka qeyb qaadanaya amni darrada wasiirka oo warbahinta kula hadlayay magaalada garoowe ayaa sheegay in xukuumadda puntland ay goaano adag kasoo saartay ka ganacsiga iyo isticmaalka maandooriyaha khamriga oo degaannada puntland aad ugu badan sidoo kale waxaa uu sheegay inay tallaabo adag ka qaadi doonan cidkasta oo ka ganacsatada ama isticmaasha maandooriyaha khamriga waxaana uu waalidiinta ku nool degaannada puntland uu ugu baaqay inay ka warhayaan meesha ay ku maqan yihiin carruurtooda ugu dambeyn wasiirka wasaaradda cadaaladda dowlad goboleedka puntland cawil sheikh xaamud maxamed ayaa sheegay in laamaha amniga puntland ay guud ahaan ka sifeyn doonan waxyaabaha maanka dooriya degaannada puntland si amniga uu u hagaago talisyada kala duwan ee ciidamada booliska puntland ayaa dhowr jeer waxaa ay goob fagaaro ah ku gubeen khamri iyo xashiish farabadan kuwaas oo lagu soo qabtay howlgallo laga sameeyay magaalooyinka puntland,HUMAN,HUMAN,Unknown
rejadii kooxda manchester city ay ka lahayd horyaalka champions league ayaa burburtay xalay ka dib markii kooxdan ka dhisay dalka ingiriiska ay guuldaro kala kulantay kulankii ay la dheeleen kooxda lyon ciyaartan oo xalay ka dhacday lisbon ayaa ku soo idlaatay guuldarada manchester city ka dib markii ay kooxda lyon seddex gool ku garaacday manchester kooxda manchester city ayaa waxaa u suuragashay in ay hal gool oo kali ah ay dhaliyaan intii ay ciyaartu socotaym inkastoo ay fursado badan lumiyeen bilowgii ciyaarta ayaa waay kooxda manchester city u muuqtay mid ay ciyaar wanaagsan ku soo bandhigeen balse qeybtii dhexe iyo qeybihii dambe ee ciyaarata ayaa waxaa gacanta sare yeeshay naadiga lyon ee dalka faransiiska laacibka lagu magacaabo maxwell cornet lyon ayaa goolkii kowaad daqiiqadii 24 u dhaliyay kooxda lyon balse markii ay ciyaartu mareysay daqiiqadii 69aad ayaa waxaa maxwell cornetuu dhaliyay gool labaad balse kooxda lyon ayaa mar kale soo rogaal celisay oo waxaa ay daqiiqaddii 87 ay dhaliyeen goolkii saddexaad tababaraha kooxda manchester pep guardiola ayay xalay u ahayd guuldaradani mid uu qaadan waayay waa markii labaad oo ay kooxda manchester city ku guuldarreysanayso inay gaarto afar dhammaadka champions league sidaa ayayna xalay tartanka uga hartay kooxda lyon ee faransiiska ayaa dhankeeda u gudubtay afar dhammaadka champions league markii ugu horreysay tan iyo xilli ciyaareedkii 200910,HUMAN,HUMAN,Unknown
soomaaliland ayaa ku dhawaaqday inay hakisay dhamaan shaqooyinkii iyo howlihii kale oo ay hayadaha qaramada midoobay ka wadeen degaannada kala duwan ee maamulkaas qoraal kasoo baxay wasaaradda qorshaynta  horumarinta somaliland ayaa waxaa lagu sheegay in la hakiyay wadashaqeyntii ka dhaxeysay soomaaliland iyo hayadaha qaramada midoobay wasaaradda ayaan weli shaacin sababaha tallaabadaaas ay ku qaadeen hayeeshee ay sheegeen in goaankaas uu ka dhaqan galay degaannada soomaaliland shalay oo taariikhdu ku beegneyd 25102020 xogaha ay risaala heshay ee ku aadan goaanka kasoo baxay soomaaliland ayaa waxaa ay sheegayaan inay sabab u tahay heshiis ay dhawaan qm la saxiixatay dowladda federaalka kaas oo sheegayay in dowlada federalka soomaaliya lasoo marsiinayo dhammaan barnaamijyada qaramada midoobay ka fulinayso soomaaliya oo ay ku jirto somaliland,HUMAN,HUMAN,Unknown
madaxweynaha jamhuuriyada federaalka soomaaliya mudane xasan sheekh maxamuud ayaa saaka u ambabaxay magaalada baydhabo ee xarunta gobolka baay madaxweynaha ayaa lagu wadaa in magaalada baydhabo uu uga qeybgalo xafladda caleema saarka madaxweynaha cusub ee maamulka kgalbeed shariif xasan sheekh aadan oo maanta ka dhaceysa magaaladaasiwasiirka warfaafinta iyo hanuunuinta dadweynaha mustaf sheekh cali dhuxuloow ayaa isaguna gaaray magaalada baydhabo isagoo ka qeybgalaya xafladda caleema saarka madaxweynaha cusub ee maamulka kgalbeed shariif xasan sh aadan xafladda caleema saarka ee maanta ka dhaceysa baydhabo ayaa waxaa kale oo lagu casuumay madaxda maamul goboleedyada dalka ka jira odayaasha dhaqanka xildhibaano iyo masuuliyiin kale oo ka tirsan dowladda federaalka ammaanka magaalada baydhabo ayaa si weyn loo adkeeyay iyadoo ciidamada ammaanka ee dowladda lagu soo daadiyay waddooyinka magaaladaasi,HUMAN,HUMAN,Unknown
argentina iyo chile oo is wajahi doonta isreebka koobka aduunka 2018 astaamaha tartanka labada xulka cad oo leh tariikh dheer iyo colaad gaagaaban ayaa ku diyaar ah inay is wajahaan goobta ciyaaraha ee estadio monumental antonio vespucio liberti saacadda 230 ee habeenka labada koox ayaa waxay leeyihiin baaritaan weyn oo ku saleysan filan iyo hantida ciyaaraha iyadoo kulankani ahaa mid ku saabsan isreebka koobka aduunka 2018 ee russia xaaladda argentina argentina waxay fadhiga ku jirta booska 5aad ee kala sareynta iyadoo leh 19dhibic kooxdan ay u hoggaamiyaan edgardo bauza ayaa saacid u ah inay tallabooyinkooda hore qaadata iyadoo ay iska caabiyaan dhibaatooyinka dhawaa ee ay kasoo guudeen gaar ahaan xasuuqii brazil ee ka dhacay wiilashii argentina waxay fili karaan in ay gaarto guul balaadhan balse tani waxay ku tiirsantahay arimo ay ka baxsan ta iyagaba haddii ecuador ay guuldaro oo ay kula kulanto paraguay oo kaliya oo ay natiijada ay saacido argentina ayaa awoodaysaa inay kala tallaabo booska 3aad laakiin hadii ay taas isticmaali karto mise kale ayaa inoogu arki doonaa ciyaaraha qaranku waxay ka mid yihiin kuwa ugu sareeya in caalamiga ah oo ay kamid yihiin lionel messi sergio aguero angel di maria iyo gonzalo higuain messi ee ah ciyaarta ugu sareeya adduunka waxa uu taariikh weyn leh isagoo jira xulka argentina haddana waxaa laga saaray juan pablo buffarini iyo julio buffarini si tashaab leh halka julio buffarini iyo guido pizarro ay si layaab leh loogu yeeray pablo zabaleta oo ah sare u ah qorshooyinka argentina ayaa dhaawac soo gaaray sidaas awgeed laga saaray xaaladda chile juan antonio pizzi oo ah hoggaamiyaha kooxda chile ayaa sidoo kale doonaysa inay dib u celiyaan argentina iyadoo ay talaabo hore qaadaan chile waxay lahu xulka uu u sheegmo iyadoo ay weli laguusan karaan ciil ka dhacay sida copa america 2015 iyo 2016 ee ay ka labuleen argentina alexis sanchez ayaa ah ciyaarta ugu sareeya kooxda chile balse waxaa laga duwadaa inuu cudurraan ku jiro iyo in kale oo saheex ah waxaa laga duwadaa inuu ciyaari karo kulanka laguna taabso xoogga uu siineyaan arturo vidal oo ah ciyaarta midkoodan maqalka lagu yiqiin ayaa sidoo kale ganaax ku seegayo hadalada masuulka kooxda ayaa muujinaya in ay doonayaan in ay iska caabiyaan tartiibka sida ay runtii u fierceney oo ay raaceen kii hore dhacdooyinka tariikhi labada xulka ayaa lahu taariikh lagu sameeya isreebka iyadoo ay is qaabileen 21kulan argentina ayaa guul gaartay 12ka mid ah kuleellada mawqifka ay ay hayaan ayaa waxaa muujinaya in ay weli laguusan karaan in ay is wajahaan oo ay wax is yaraadeen oo ay yara iska caabuuyan dhacdii ugu gaara badday ayaa ahaa june 2016 ee copa america markaa ay rigoreyaal ku lumiyeen argentina iyadoo messi uu ka mid ahaa habeenkaas ayaa waxay ahayd mid cqli raagay oo ay iska caabiyeen wiilasha argentina iyo taageerada kooxdoodu suminta kulanka kulanka argentina iyo chile ayaa gaari doona waqti muhiim ah ee isreebka koobka aduunka 2018 ee russia hintaale ah in ay labada xulka ay leeyihiin rabtid jidka ay maraan iyo isku xukun iyo tallada ay leeyihiin wiilashu waxay ciyaaraan oo ay wada jiraan in ay kaas iska caabiyaan balse macluumaad ay saran tahay in ay islago xusiin doonto taariikhdooda,AI,AI,Unknown
kooxda kubaddacagta ee degmadda waaberi ayaa caawa si xaraga leh ugu guuleysatay tartanka kubaddacagta ee degmooyinka gobolka banaadir ee sanadka 2017 kaddib makii 30 ay kaga adkaadeen kooxda kubaddacagta ee degmadda hodan laacibka kooxda waaberi ee lagu magacaabo muxudiin ayaa si weyn uga dhexmuuqday ciyaarta waxaana qeybtii hore ee kulanka uu dhaliyay labo kamid ah goolashii ay kooxdiisu ku adkaadeen waaberi ayaa kulankii ugu dambeeyay ee sami finalka waxay soo reebtay degmada hilliwaa halka hodan ay soo garaacday kaaraan magaalladda muqdisho xili habeen ah kubadcag oo heerkan oo kale in lagu ciyaaro waxaa ugu dambeysay 30sano ka hor sida xiriirka kubaddacagta uu sheegay guddoomiyaha gobolka banaadir taabit cabdi maxamed guddoomiyaasha labada degmo ee caawa ciyaareysay masuuliyiinta xiriirka kubaddacagta soomaaliya iyo dad ku dhow hal million oo qof ayaa daawaneysay kulankii caawa oo ahaa mid si xamaasad leh ku bilowday xiriirka kubaddacagta adduunka ee fifa ayaa boggaadiyay hormarka soomaaliya ka jira ee dhinaca ciyaaraha hiiraan online hassan istiila mogadishusomalia,HUMAN,HUMAN,Unknown
waa qoraal aad u ballaaran oo falanqeynaya munaasabaddaas saameynta ay ku leedahay bulshada degmada hawlwadaag iyo guud ahaan qorshaha fog ee wasaaradda waxbarashada soomaaliya horumarinta waxbarashada dhagaxdhigga dugsiga sare ee hawlwadaag iyo dibufurashada iskuullada dowladda hordhac maalin taariikhi u ah gobolka banaadir magaalada muqdisho gaar ahaan degmada hawlwadaag waxay maanta martigelisay munaasabad weyn oo dhabaha u xaareysa mustaqbalka jiilka soo kacaya wasiirka waxbarashada hiddaha iyo tacliinta sare ee xukuumadda federaalka soomaaliya mudane cabdullaahi goodax barre ayaa si rasmi ah u dhagaxdhigay dhismaha dugsi sare oo ay yeelan doonto degmada hawlwadaag tallaabadan ayaa qayb ka ah qorshe ballaaran oo dowladda soomaaliya ay ku dooneyso inay dib ugu soo celiso adeegyadii waxbarasho ee ay bixin jirtay dowladda si looga kaaftoomo iskuullada gaarka loo leeyahay oo inta badan bulshada danyarta ah aysan awoodin munaasabadda xarigjarka iyo kaqaybgalayaasha dhagaxdhigga dugsiga sare ka sokow waxaa sidoo kale xarigga laga jaray laba dugsi oo muhiim ah kuwaas oo ah dugsiga hoosedhexe ee hawlwadaag iyo dugsiga xasan qariidi labadan iskuul ayaa lagu sameeyay dayactir ballaaran oo casri ah si ay u helaan ardaydu jawi waxbarasho oo degan munaasabadda waxaa wasiirka ku wehlinayay masuuliyiin miisaan culus ku leh dowladda iyo saaxiibbada caalamiga ah oo ay ka mid yihiin wasiirka qorsheynta iyo xiriirka caalamiga ah mudane amb jamaal maxamed xasan wakiilka midowga yurub pinji gardiyola masuuliyiin ka socday hayadda adra oo ah hayadda gacanta ka gaysatay fulinta mashaariicdan maamulka degmada iyo qaybaha bulshada kuwaas oo si weyn u soo dhoweeyay horumarkan fariinta wasiirka qorsheynta dibudhiska qaranka wasiirka qorsheynta amb jamaal maxamed xasan oo munaasabadda ka hadlay ayaa hoosta ka xariiqay in horumarka dalku uu ku xiran yahay tayada waxbarashada waxa uu sheegay in xukuumadda federaalka soomaaliya xfs ay mudnaanta koowaad siineyso in dib loo soo nooleeyo iskuulladii dowladda ee ku burburay dagaalladii sokeeye ma jirto dowlad dhismi karta iyada oo aan dhisin maskaxda dhalinyaradeeda ayuu yiri wasiir jamaal waxa uu intaas ku daray in wasaaraddiisu ay ka shaqaynayso sidii loo heli lahaa maalgashi caalami ah oo lagu horumarinayo kaabayaasha waxbarashada dalka si carruurta soomaaliyeed ay u helaan xuquuqdooda dastuuriga ah ee ah waxbarasho lacag laaan ah taageerada caalamiga ah doorka midowga yurub iyo adra madaxa midowga yurub pinji gardiyola ayaa ammaanay dadaalka dowladda soomaaliya ay ugu jirto kor u qaadista aqoonta waxa uu caddeeyay in midowga yurub uu yahay saaxiib dhow oo mar walba garab taagan soomaaliya gaar ahaan dhinaca horumarinta aadanaha gardiyola waxa uu xusay in dayactirka iskuullada hawlwadaag iyo xasan qariidi ay yihiin miro ka dhashay iskaashiga dowladda iyo deeqbixiyeyaasha dhankooda hayadda adra ayaa lagu ammaanay doorka ay ka qaadatay fulinta iyo kormeerka mashaariicdan iyadoo la hubinayo in dhismahu uu la mid yahay kuwa caalamiga ah dardaranka wasiir goodax barre tayada macallinka iyo ardayga wasiirka waxbarashada cabdullaahi goodax barre oo ahaa martida sharafta leh ee munaasabadda ayaa khudbad dhinacyo badan taabaneysa ka jeediyay goobta waxa uu farta ku fiiqay in dhibaatada ugu weyn ee haysatay ardayda degmada hawlwadaag ay ahayd in markii ay dhamaystaan dugsiga dhexe ay waayeen dugsi sare oo dowladeed oo ay waxbarashadooda ka sii wataan maanta waa maalin guul u ah degmada hawlwadaag ardaydu ma aadi doonaan degmooyin fogfog si ay u raadsadaan dugsi sare waayo waxaan halkan ka dhagaxdhignay midkoodii ayuu yiri wasiirka waxa uu sidoo kale ka hadlay arrimaha tayada soo saarista macallimiin tayo leh wasiirka ayaa sheegay in dhismaha iskuulku uusan ku filnayn balse loo baahan yahay macallimiin aqoon iyo xirfad u leh inay bixiyaan casharo tayo leh manhajka midaysan waxa uu xusay in wasaaraddu ay dadaal ugu jirto hirgelinta manhajka qaranka si loo mideeyo garaadka ardayda soomaaliyeed soo celinta hantida qaranka wasiirku wuxuu si cad u sheegay inay dowladda ka goan tahay in gacanta dowladda lagu soo celiyo dhammaan dhulalkii iyo dhismooyinkii iskuullada ee ay dowladda lahayd saameynta bulshada kaguulgaaridda caqabadaha degmada hawlwadaag waa mid ka mid ah degmooyinka ugu dadka badan gobolka banaadir sanadihii la soo dhaafay waalidiin badan ayaa ka cabanayay qarashka badan ee iskuullada gaarka ah taas oo keentay in carruur badan ay ka haraan waxbarashada markii ay gaaraan heerka dugsiga sare dhagaxdhiggan cusub wuxuu rajo geliyay kumanaan qoys oo danyar ah sida uu wasiirku sheegay helitaanka dugsi sare oo degmada dhexdeeda ah ma aha oo kaliya mid dhaqaale balse waa mid dhinaca amniga ah maadaama ardaydu aysan u baahnaan doonin inay maraan waddooyin fogfog qorshaha mustaqbalka ee wasaaradda wasaaradda waxbarashada ee uu hoggaaminayo cabdullaahi goodax barre waxay muddadii dambe xoogga saaraysay saddex tiir oo muhiim ah tayeynta imtixaanka midaysan ee qaranka oo la joogteeyay baahinta in degmo kasta oo dalka ah ay hesho iskuul dowladeed aqoonsiga in shahaadada soomaaliya ay noqoto mid caalamku aqoonsan yahay dadaalladan waxay u muuqdaan kuwo dhabaha u xaaraya in soomaaliya ay dib u hesho nidaamkii waxbarasho ee lagu yaqiinnay kaas oo ahaa mid lacag laaan ah oo qof kasta u furan gunaanad munaasabaddan ka dhacday degmada hawlwadaag waxay astaan u tahay dibusookabashada dowladnimada soomaaliya dhagaxdhigga dugsiga sare iyo dayactirka iskuullada kale ma aha oo kaliya dhismo leben iyo shamiito ah balse waa dhismo mustaqbal sida uu sheegay wasiir goodax barre maanta waa bilowga isbeddel weyn waxaa la filayaa in marka dhismaha dugsigan sare dhammaado uu noqon doono xarun aqooneed oo soo saarta hoggaamiyeyaasha barito ee dalka bulshada reer hawlwadaag iyo guud ahaan gobolka banaadir waxaa horyaalla inay ilaashadaan hantidan qaran dowladduna ay hubiso in adeegga laga bixinayo uu yahay mid tayo sare leh,AI,AI,Unknown
