model,train_accuracy
AfriBERTa_FineTuned,0.8545796737766624
AfroXLMR_FineTuned,0.7860727728983689
BiLSTM_FastText,0.8939774153074027
BiLSTM_Keras,0.988582183186951
BiLSTM_MultilingualEmbeddings,0.7598494353826851
BiLSTM_Word2Vec,0.9144291091593476
LinearSVC_TFIDF,0.9982434387270097
LogisticRegression_TFIDF,0.9590824550526968
MiniTransformer_Keras,0.9682559598494354
RandomForest_TFIDF,1.0
SomBERTa_FineTuned,0.8521957340025094
XGBoost_TFIDF,0.8856168629882207
XLMRoberta_FineTuned,0.7431618569636136
mBERT_FineTuned,0.6795483061480552
