experiment,family,model,evaluation_train_rows,test_rows,final_train_rows,saved_model_train_scope,accuracy,precision,recall,f1,macro_f1,roc_auc
experiment_1_stopwords_included,traditional_ml,LinearSVC_TFIDF,9678,1708,11386,full_dataset,0.9478922716627636,0.9479960830943556,0.9478922716627636,0.9478892528354408,0.9478892528354408,0.9904225328938348
experiment_2_stopwords_removed,traditional_ml,LinearSVC_TFIDF,9673,1708,11381,full_dataset,0.93384074941452,0.9342748360868366,0.93384074941452,0.9338242126358846,0.9338242126358848,0.9843140696213988
experiment_1_stopwords_included,traditional_ml,LogisticRegression_TFIDF,9678,1708,11386,full_dataset,0.9320843091334896,0.9340865511769372,0.9320843091334896,0.9320059027420295,0.9320059027420295,0.9851970887790752
experiment_2_stopwords_removed,traditional_ml,LogisticRegression_TFIDF,9673,1708,11381,full_dataset,0.9086651053864168,0.9128518395390072,0.9086651053864168,0.9084329598456012,0.9084329598456012,0.9797961377509885
experiment_2_stopwords_removed,transformers,MiniTransformer_Keras,9673,1708,9673,train_validation,0.8969555035128806,0.9044170647892046,0.8969555035128806,0.8964780040553645,0.8964780040553646,0.9700164263501693
experiment_1_stopwords_included,transformers,MiniTransformer_Keras,9678,1708,9678,train_validation,0.8969555035128806,0.9055046642575006,0.8969555035128806,0.8964095099466278,0.8964095099466278,0.9756484157758777
experiment_1_stopwords_included,deep_learning,BiLSTM_Keras,9678,1708,9678,train_validation,0.8963700234192038,0.8971983869084014,0.8963700234192038,0.896315964747236,0.896315964747236,0.9695920561183355
experiment_2_stopwords_removed,deep_learning,BiLSTM_Keras,9673,1708,9673,train_validation,0.8852459016393442,0.887421747883401,0.8852459016393442,0.8850845539975724,0.8850845539975725,0.9619506496498089
experiment_1_stopwords_included,deep_learning,BiLSTM_Word2Vec,9678,1708,9678,train_validation,0.8788056206088993,0.8791846409557129,0.8788056206088993,0.8787753275719303,0.8787753275719303,0.943604692616095
experiment_1_stopwords_included,traditional_ml,RandomForest_TFIDF,9678,1708,11386,full_dataset,0.8729508196721312,0.8798385959326398,0.8729508196721312,0.8723722374251861,0.8723722374251861,0.9602086064202624
experiment_1_stopwords_included,deep_learning,BiLSTM_FastText,9678,1708,9678,train_validation,0.8694379391100703,0.8702100179308734,0.8694379391100703,0.8693698312917154,0.8693698312917153,0.9213358818399706
experiment_1_stopwords_included,traditional_ml,XGBoost_TFIDF,9678,1708,11386,full_dataset,0.8641686182669789,0.8728074608094147,0.8641686182669789,0.8633771485234267,0.8633771485234267,0.9516451030828887
experiment_2_stopwords_removed,traditional_ml,RandomForest_TFIDF,9673,1708,11381,full_dataset,0.8618266978922716,0.8677074682436613,0.8618266978922716,0.861272026431718,0.8612720264317181,0.934479704270851
experiment_2_stopwords_removed,deep_learning,BiLSTM_FastText,9673,1708,9673,train_validation,0.860655737704918,0.8744654195495573,0.860655737704918,0.8593590850715204,0.8593590850715203,0.9321227012707798
experiment_2_stopwords_removed,transformers,SomBERTa_FineTuned,9673,1708,9673,train_validation,0.8442622950819673,0.8462066683213371,0.8442622950819673,0.8440433232824197,0.8440433232824197,0.930633634803021
experiment_2_stopwords_removed,traditional_ml,XGBoost_TFIDF,9673,1708,11381,full_dataset,0.8442622950819673,0.8584669682017543,0.8442622950819673,0.8427040359179107,0.8427040359179107,0.923651750407231
experiment_1_stopwords_included,transformers,SomBERTa_FineTuned,9678,1708,9678,train_validation,0.8384074941451991,0.8427385085404804,0.8384074941451991,0.8378953854957003,0.8378953854957003,0.9202992941331329
experiment_1_stopwords_included,transformers,AfriBERTa_FineTuned,9678,1708,9678,train_validation,0.8360655737704918,0.837622873137618,0.8360655737704918,0.8358763169635196,0.8358763169635197,0.9163353059579112
experiment_2_stopwords_removed,transformers,AfriBERTa_FineTuned,9673,1708,9673,train_validation,0.8202576112412178,0.8204162122490415,0.8202576112412178,0.8202353660714806,0.8202353660714806,0.9147118670096365
experiment_2_stopwords_removed,deep_learning,BiLSTM_Word2Vec,9673,1708,9673,train_validation,0.8179156908665105,0.8239969984363363,0.8179156908665105,0.8170572483920684,0.8170572483920684,0.883038353745153
experiment_2_stopwords_removed,transformers,AfroXLMR_FineTuned,9673,1708,9673,train_validation,0.7792740046838408,0.7792927693149422,0.7792740046838408,0.7792702971841293,0.7792702971841294,0.8648226557486741
experiment_1_stopwords_included,transformers,AfroXLMR_FineTuned,9678,1708,9678,train_validation,0.7652224824355972,0.7660282461865998,0.7652224824355972,0.7650445703425836,0.7650445703425836,0.8603444871633146
experiment_2_stopwords_removed,transformers,XLMRoberta_FineTuned,9673,1708,9673,train_validation,0.7570257611241218,0.7605268826918132,0.7570257611241218,0.7562066997929123,0.7562066997929122,0.8566396459148024
experiment_1_stopwords_included,transformers,XLMRoberta_FineTuned,9678,1708,9678,train_validation,0.7213114754098361,0.7641755867622507,0.7213114754098361,0.7095287910228488,0.7095287910228487,0.8166542349269726
experiment_2_stopwords_removed,transformers,mBERT_FineTuned,9673,1708,9673,train_validation,0.6586651053864169,0.6815148696406472,0.6586651053864169,0.6475739305704745,0.6475739305704744,0.7250156310844682
experiment_1_stopwords_included,transformers,mBERT_FineTuned,9678,1708,9678,train_validation,0.6440281030444965,0.6455036569148936,0.6440281030444965,0.6431233306802919,0.643123330680292,0.7133855557810334
