feature,mean_abs_shap
word__ayaa waxaa,0.03240245133485991
word__weyn,0.02159216325633056
word__in ay,0.021290746948430122
word__waxay,0.018830593295131634
word__wuxuu,0.017885657302957134
word__dalka,0.016616946525479077
word__isagoo,0.015793704103261495
word__si,0.01570907269747013
word__uu,0.01392884920947841
word__iyadoo,0.013656627072279565
word__taasoo,0.013137397932402102
word__wax,0.013032165333232997
word__halkaas,0.012833562030096233
word__madaxweynaha,0.012742144164310392
word__kamid,0.012737046083071106
word__in uu,0.012641996454859989
word__ayay,0.01250789033536009
word__muhiim ah,0.012154911893449007
word__hadda,0.011937072923135924
word__kamid ah,0.011348355762079874
word__kuwaas oo,0.011251203744969884
word__ah oo,0.011246455458681526
word__kuwaas,0.011079444177949968
word__ay,0.010764706501756802
word__ayaa si,0.010478889229798885
word__ayaa sheegay,0.010406547674763225
word__gaar ahaan,0.010399281904513637
word__muhiim,0.010360992129104534
word__weyn oo,0.010212126410491535
word__waxa,0.010186491927914121
word__ayuu,0.010113968243353429
word__ay ku,0.009933169860426708
word__si ay,0.009587831893345495
word__ayaa lagu,0.009578117057681308
word__ay ka,0.009554956737833792
word__taas oo,0.009363810522306412
word__kala,0.009256366813478419
word__la soo,0.009195169999120867
word__ayaa waxay,0.008894319688740293
word__ugu,0.008860182520646288
word__qaran,0.008737551482165103
word__ay si,0.008689062357429713
word__madaxweyne,0.008588974027344777
word__magaalada muqdisho,0.008511494640581185
word__weli,0.008500302488819523
word__maadaama,0.008492609008882384
word__ayaa waxa,0.008374359101363136
word__si weyn,0.008352732659652395
word__dambeeyay,0.008343739050375798
word__adag,0.008294239397267809
word__leh,0.008227785776097458
word__looga,0.008177024178470445
word__ardayda,0.008128588878242056
word__kulanka,0.008099440634943951
word__soo,0.008054110152105363
word__kaddib,0.008026227272490938
word__kaas,0.007955269049519376
word__rasmi ah,0.007853097197592444
word__oo ay,0.007829943056901574
word__halkaas oo,0.007810902811380403
word__war,0.0077996542047369544
word__lagu soo,0.007777713789776872
word__mid ka,0.0077719589095323945
word__markii ay,0.00767372292656526
word__sheegay inay,0.0076380599750370025
word__cusub oo,0.007602267495028824
word__kale oo,0.0075451999765013865
word__kala duwan,0.007536872466299292
word__waxa uu,0.007514749846783123
word__xaaladda,0.007445359363404581
word__waxaa la,0.007276652481625267
word__hiiraan online,0.007262018247034127
char__ey ,0.007214304303487899
word__cusub,0.0071973944999219166
word__si loo,0.007192168883933576
word__sheegtay,0.007113330776262885
word__yimid,0.007080464848008815
word__waxa ay,0.007070938270032992
word__sameeyay,0.0070662961876203105
word__kasta oo,0.007054248746027495
word__aan,0.006948515174506743
word__halka,0.006942578486953272
word__afrika,0.006788767878098787
word__kasta,0.006759868497189154
word__rasmi,0.006748961133648133
char__du ,0.00670980783039018
word__uu ku,0.006684036858117689
word__waxaa uu,0.0066493497160284845
word__ee,0.006634124570736179
word__uu ka,0.006568273239614647
word__isla markaana,0.0065385311322256065
word__sii,0.006524227395281822
word__badan,0.006521384118531443
word__ka,0.006480002745308862
word__ururka,0.006453347944382563
word__inta,0.006419276251294075
word__cad,0.006355544301145206
word__kaas oo,0.0063363557553810824
word__tani,0.006331696851201015
word__wasaaraha,0.006325700203594282
