feature,importance,class_label
si,1.6399732525184805,AI
weyn,1.4171491115964017,AI
waxay,1.3211013593296133,AI
wuxuu,1.0631911260420728,AI
isagoo,1.0414831818536323,AI
hadda,1.0346887193559693,AI
muhiim ah,0.934313507133038,AI
muhiim,0.8813439174980868,AI
iyo,0.8803518979694871,AI
halkaas,0.8766985323373533,AI
taasoo,0.8752183213001046,AI
aas ,0.8619644894222425,AI
waxa uu,0.8224097154619874,AI
ah oo,0.8220961037711868,AI
mid,0.7813321746573342,AI
 mu,0.7503590783367332,AI
as ,0.7451779067848772,AI
kuwaas oo,0.736369816003955,AI
kaas,0.7345661004565655,AI
 si ,0.7316615426098193,AI
kuwaas,0.7307773681966967,AI
ay si,0.7291364574488263,AI
 muu,0.7181355264580153,AI
saabsan,0.7052819516032343,AI
ah,0.6978640796148992,AI
leh,0.6877967903846013,AI
gaar ahaan,0.6870752031131635,AI
muu,0.6848788038643387,AI
kaas oo,0.6833030001570228,AI
taas oo,0.6785177635406451,AI
xaaladda,0.6656757988447749,AI
ayaa si,0.6653095751750584,AI
ay ,0.6639991960896833,AI
ku saabsan,0.6574995769826943,AI
kasta oo,0.6486677923470477,AI
si weyn,0.6445188456674651,AI
uuji,0.6429396237691319,AI
uuj,0.6421062354286952,AI
muuji,0.6351621660347534,AI
muuj,0.6351621660347534,AI
 muuj,0.6329119848228736,AI
halkaas oo,0.63146016127572,AI
uji,0.6216722318887707,AI
tallaabadan,0.6214982277952448,AI
kasta,0.6167081019378114,AI
 iy,0.6090462462708874,AI
talagalay,0.5981305758838354,AI
loogu talagalay,0.594573507858491,AI
iyadoo,0.591100334276906,AI
weyn oo,0.5813838129013811,AI
ayaa waxaa,2.0754466186254614,HUMAN
ka,1.3433394908393215,HUMAN
na ,1.029777645529063,HUMAN
kasoo,0.9798678464065066,HUMAN
ayaa waxay,0.9560092533778376,HUMAN
usoo,0.8808321377909987,HUMAN
uu,0.8706288068709948,HUMAN
hiiraan online,0.8461675904170101,HUMAN
ugu,0.802018572393944,HUMAN
ayaa waxa,0.7949810506132242,HUMAN
ku,0.7948890996694812,HUMAN
dhamaan,0.7784981534210133,HUMAN
wax,0.7723580964346166,HUMAN
kaddib,0.7715342062957344,HUMAN
online,0.7712890444223081,HUMAN
illaa,0.7564123139685558,HUMAN
 ka,0.7555278115344586,HUMAN
in ay,0.751922825645125,HUMAN
haatan,0.7373463089890531,HUMAN
ayay,0.7371305768984975,HUMAN
ay ka,0.7367167545157818,HUMAN
kamid,0.7363635881952217,HUMAN
dalka,0.7225510775219979,HUMAN
ee,0.7149962682491738,HUMAN
lasoo,0.7100034415856904,HUMAN
ay ku,0.7081849651046799,HUMAN
iney,0.7029724031803463,HUMAN
yiri,0.691322423651133,HUMAN
islamarkaana,0.6733648272297094,HUMAN
kamid ah,0.6659896548189351,HUMAN
sheegtay,0.6612531994170363,HUMAN
mudane,0.6596609570934642,HUMAN
ayuu yiri,0.6276802825398783,HUMAN
ayna,0.6202490908261349,HUMAN
aan,0.6097156518749094,HUMAN
eys,0.6032639136507097,HUMAN
xili,0.6012128739463636,HUMAN
ey ,0.600963823432526,HUMAN
la,0.6005260128117053,HUMAN
looga,0.5952313349117759,HUMAN
maanta oo,0.5906910116821157,HUMAN
 wa,0.5850097746481193,HUMAN
asi ,0.5829798290164678,HUMAN
mahad,0.5829524084139589,HUMAN
waxaana,0.5812899234894623,HUMAN
kala,0.5697425851899438,HUMAN
tiktok,0.5636131469691221,HUMAN
kula,0.5622891897084236,HUMAN
aasi ,0.5619078917772692,HUMAN
dawladda,0.5462707139791466,HUMAN
