Text,Label,AiTypeNormalized,CategoryNormalized
wasiirka wasaaradad amniga xukuumadda federaalka ee soomaaliya xasan xundubey jimcaale sheegay dowladda soomaaliya guud xaqiijineyso amniga dalka maadaama galaayo waqti adag doorasho uu sheegay sugida amniga kaliya aan qoray adeegsan dooninsidoo kale wacyigelin maareyn doonaan waxaana uu bulshada ugu baqay inay ciidamada amniga kala shaqeeyaan sugida dhinaca amniga wasiirka hadlayay munaasabad dhacday mudisho sheegay masuuliyiinta xilka haaya kuwa hadda doonaya jecel yihiin qof walba waqtiga uu joogo uu amniga hagaagsanaadosidaas daraadeedna muhiim tahay laga wada shaqeeyo magaaladaan magaalooyin kale badan galayaan doorashooyin anaga amniga naga quseeyo waxaana ogahay masuuliyiinta xilka haaya kuwa doonaya intaba mideysan yihiin dad masuuliyiin soo noqday masuuliayda dareesan maalintii joogeen jeclaa inay waxwalba isku toosnaadaan walaalahooda hadda jooga ragga wax raadinaya jeclaayeen maalintaas ayay masuuliyiinta hadda jooga jeel yihiin ayuu yiri wasiir xundubeey sidoo kale wasiirka uu sheegay amniga uusan laheyn mucaarad muxaafid waxana uu ugu baaqay masuul kasta ee dalka jooga ama xildoon inay amniga wada ilaaliyaan hadalka wasiirka wasaaradad amniga xukuumadda federaalka ee soomaaliya xasan xundubey jimcaale uu kusoo aadayaa xilli musharixiinta madaxweynaha soomaaliya shirsan yihiin muqdisho iyaga kasoo horjeestay guddiga doorashooyinka xukuumadda soomaaliya magacaawday,HUMAN,HUMAN,Unknown
xaafada islii ee soomaalidu badan tahay ee magaalada nairobi kenya maanta wanaagsan ciiday ciida ciidulfitri maanta fiican loogu dabbaal dagay dhammaan dalka kenya nairobi gaar ahaan xaafada islii ayadoo shaly ahayd dhammaadkii bisha barakaysan ee ramadaan yimid garoomada masaajida rag dumar yar weyn wanaagsan labisan dhar wada cusub qabay salaada ciida garoomo badan waaweyn lagu tukaday mid mid garoomadaa lagu tukuday ciida saaka garoonka weyn ee dugsiga sare ee eastleigh high school garoonkaa aad weyn dadkii buux dhaafiyeen takbiirta saliga nabiga scw ducooyinka ayaan kala go lahayn min bilow ilaa dhammaad ayadoo mashaaikh badan halkaa duceeyeen khudbadana kasoo jeediyeen sidoo kale mashaaikhdaa culimadii meeshaa hadlay kula dardaarmeen ummada muslimiinta midnimada inay dadaasho xiriirinta qaraabada ayagoo rajeeyay muslimiinta ciid wanaagsan inay sanadkaan kiisa kale gaaraan wanaag ama kheyr caafimaad bartaan hiiraan online maamulkeeda shaqaalaheeda hadaan nahayna waxaanu idin leenahay ciid wanaagsan kullu caam wa antum bikheyr ciid mubaarak,HUMAN,HUMAN,Unknown
ciyaaryahanka khadka dhexe ee tottenham dele alli maqnaan doona isbuucyo kadib markii uu soo gaaray dhaawac jilibka sida uu saxaafada xaqiijiyay tababaraha kooxda spuers mauricio pochettino 20sano jirkaan laga saaray xulka tottenham galabta ciyaaraya arsenal kulan katirsan premier league iyadoo sidookale uu seegi doono xulka england ee isreebreebka koobka adduunka wajahay scotland ciyaarta saaxiibtinimo ee dhanka xulka spain qaloocday jilibka ayuu yiri pochettino saxaafada hadlay hor kulanka arsenal waxaan rajeynayaa aan helno isaga sida ugu dhaqsiyaha badan nasiib xumo xiligaan kale ciyaartooy muhiim aan weyno ayuu hadalkiisa daray uu maqnaan doonaa isbuucyo yar waxaan baahanahay inaan isaga deg deg helnaa ayuu yiri pochettino,HUMAN,HUMAN,Unknown
wasiirka wasaaradda cadaaladda dowlad goboleedka puntland cawil sheikh xaamud maxamed sheegay degaannada puntland dhibaato hayaan ganacsiga isticmaalka waxyaabaha maanka dooriya kuwaas qeyb qaadanaya amni darrada wasiirka warbahinta kula hadlayay magaalada garoowe sheegay xukuumadda puntland goaano adag kasoo saartay ganacsiga isticmaalka maandooriyaha khamriga degaannada puntland aad ugu badan sidoo kale uu sheegay inay tallaabo adag qaadi doonan cidkasta ganacsatada ama isticmaasha maandooriyaha khamriga waxaana uu waalidiinta nool degaannada puntland uu ugu baaqay inay warhayaan meesha maqan yihiin carruurtooda ugu dambeyn wasiirka wasaaradda cadaaladda dowlad goboleedka puntland cawil sheikh xaamud maxamed sheegay laamaha amniga puntland guud ahaan sifeyn doonan waxyaabaha maanka dooriya degaannada puntland amniga uu hagaago talisyada kala duwan ee ciidamada booliska puntland dhowr jeer goob fagaaro gubeen khamri xashiish farabadan kuwaas lagu soo qabtay howlgallo laga sameeyay magaalooyinka puntland,HUMAN,HUMAN,Unknown
rejadii kooxda manchester city lahayd horyaalka champions league burburtay xalay dib markii kooxdan dhisay dalka ingiriiska guuldaro kala kulantay kulankii dheeleen kooxda lyon ciyaartan xalay dhacday lisbon soo idlaatay guuldarada manchester city dib markii kooxda lyon seddex gool garaacday manchester kooxda manchester city suuragashay hal gool kali dhaliyaan intii ciyaartu socotaym inkastoo fursado badan lumiyeen bilowgii ciyaarta waay kooxda manchester city muuqtay mid ciyaar wanaagsan soo bandhigeen balse qeybtii dhexe qeybihii dambe ee ciyaarata gacanta sare yeeshay naadiga lyon ee dalka faransiiska laacibka lagu magacaabo maxwell cornet lyon goolkii kowaad daqiiqadii 24 dhaliyay kooxda lyon balse markii ciyaartu mareysay daqiiqadii 69aad maxwell cornetuu dhaliyay gool labaad balse kooxda lyon mar kale soo rogaal celisay daqiiqaddii 87 dhaliyeen goolkii saddexaad tababaraha kooxda manchester pep guardiola ayay xalay ahayd guuldaradani mid uu qaadan waayay markii labaad kooxda manchester city guuldarreysanayso inay gaarto afar dhammaadka champions league sidaa ayayna xalay tartanka uga hartay kooxda lyon ee faransiiska dhankeeda gudubtay afar dhammaadka champions league markii ugu horreysay tan xilli ciyaareedkii 200910,HUMAN,HUMAN,Unknown
soomaaliland dhawaaqday inay hakisay dhamaan shaqooyinkii howlihii kale hayadaha qaramada midoobay wadeen degaannada kala duwan ee maamulkaas qoraal kasoo baxay wasaaradda qorshaynta horumarinta somaliland lagu sheegay hakiyay wadashaqeyntii dhaxeysay soomaaliland hayadaha qaramada midoobay wasaaradda ayaan weli shaacin sababaha tallaabadaaas qaadeen hayeeshee sheegeen goaankaas uu dhaqan galay degaannada soomaaliland shalay taariikhdu beegneyd 25102020 xogaha risaala heshay ee aadan goaanka kasoo baxay soomaaliland sheegayaan inay sabab tahay heshiis dhawaan qm saxiixatay dowladda federaalka kaas sheegayay dowlada federalka soomaaliya lasoo marsiinayo dhammaan barnaamijyada qaramada midoobay fulinayso soomaaliya jirto somaliland,HUMAN,HUMAN,Unknown
madaxweynaha jamhuuriyada federaalka soomaaliya mudane xasan sheekh maxamuud saaka ambabaxay magaalada baydhabo ee xarunta gobolka baay madaxweynaha lagu wadaa magaalada baydhabo uu uga qeybgalo xafladda caleema saarka madaxweynaha cusub ee maamulka kgalbeed shariif xasan sheekh aadan maanta dhaceysa magaaladaasiwasiirka warfaafinta hanuunuinta dadweynaha mustaf sheekh cali dhuxuloow isaguna gaaray magaalada baydhabo isagoo qeybgalaya xafladda caleema saarka madaxweynaha cusub ee maamulka kgalbeed shariif xasan sh aadan xafladda caleema saarka ee maanta dhaceysa baydhabo kale lagu casuumay madaxda maamul goboleedyada dalka jira odayaasha dhaqanka xildhibaano masuuliyiin kale tirsan dowladda federaalka ammaanka magaalada baydhabo weyn adkeeyay iyadoo ciidamada ammaanka ee dowladda lagu soo daadiyay waddooyinka magaaladaasi,HUMAN,HUMAN,Unknown
argentina chile wajahi doonta isreebka koobka aduunka 2018 astaamaha tartanka labada xulka cad leh tariikh dheer colaad gaagaaban diyaar inay wajahaan goobta ciyaaraha ee estadio monumental antonio vespucio liberti saacadda 230 ee habeenka labada koox leeyihiin baaritaan weyn saleysan filan hantida ciyaaraha iyadoo kulankani ahaa mid saabsan isreebka koobka aduunka 2018 ee russia xaaladda argentina argentina fadhiga jirta booska 5aad ee kala sareynta iyadoo leh 19dhibic kooxdan hoggaamiyaan edgardo bauza saacid inay tallabooyinkooda hore qaadata iyadoo iska caabiyaan dhibaatooyinka dhawaa ee kasoo guudeen gaar ahaan xasuuqii brazil ee dhacay wiilashii argentina fili karaan gaarto guul balaadhan balse tani tiirsantahay arimo baxsan ta iyagaba haddii ecuador guuldaro kula kulanto paraguay kaliya natiijada saacido argentina awoodaysaa inay kala tallaabo booska 3aad laakiin hadii taas isticmaali karto mise kale inoogu arki doonaa ciyaaraha qaranku mid yihiin kuwa ugu sareeya caalamiga kamid yihiin lionel messi sergio aguero angel di maria gonzalo higuain messi ee ciyaarta ugu sareeya adduunka uu taariikh weyn leh isagoo jira xulka argentina haddana laga saaray juan pablo buffarini julio buffarini tashaab leh halka julio buffarini guido pizarro layaab leh loogu yeeray pablo zabaleta sare qorshooyinka argentina dhaawac soo gaaray sidaas awgeed laga saaray xaaladda chile juan antonio pizzi hoggaamiyaha kooxda chile sidoo kale doonaysa inay dib celiyaan argentina iyadoo talaabo hore qaadaan chile lahu xulka uu sheegmo iyadoo weli laguusan karaan ciil dhacay sida copa america 2015 2016 ee labuleen argentina alexis sanchez ciyaarta ugu sareeya kooxda chile balse laga duwadaa inuu cudurraan jiro kale saheex laga duwadaa inuu ciyaari karo kulanka laguna taabso xoogga uu siineyaan arturo vidal ciyaarta midkoodan maqalka lagu yiqiin sidoo kale ganaax seegayo hadalada masuulka kooxda muujinaya doonayaan iska caabiyaan tartiibka sida runtii fierceney raaceen kii hore dhacdooyinka tariikhi labada xulka lahu taariikh lagu sameeya isreebka iyadoo qaabileen 21kulan argentina guul gaartay 12ka mid kuleellada mawqifka hayaan muujinaya weli laguusan karaan wajahaan wax yaraadeen yara iska caabuuyan dhacdii ugu gaara badday ahaa june 2016 ee copa america markaa rigoreyaal lumiyeen argentina iyadoo messi uu mid ahaa habeenkaas ahayd mid cqli raagay iska caabiyeen wiilasha argentina taageerada kooxdoodu suminta kulanka kulanka argentina chile gaari doona waqti muhiim ee isreebka koobka aduunka 2018 ee russia hintaale labada xulka leeyihiin rabtid jidka maraan isku xukun tallada leeyihiin wiilashu ciyaaraan wada jiraan kaas iska caabiyaan balse macluumaad saran tahay islago xusiin doonto taariikhdooda,AI,AI,Unknown
kooxda kubaddacagta ee degmadda waaberi caawa xaraga leh ugu guuleysatay tartanka kubaddacagta ee degmooyinka gobolka banaadir ee sanadka 2017 kaddib makii 30 kaga adkaadeen kooxda kubaddacagta ee degmadda hodan laacibka kooxda waaberi ee lagu magacaabo muxudiin weyn uga dhexmuuqday ciyaarta waxaana qeybtii hore ee kulanka uu dhaliyay labo kamid goolashii kooxdiisu adkaadeen waaberi kulankii ugu dambeeyay ee sami finalka soo reebtay degmada hilliwaa halka hodan soo garaacday kaaraan magaalladda muqdisho xili habeen kubadcag heerkan kale lagu ciyaaro ugu dambeysay 30sano hor sida xiriirka kubaddacagta uu sheegay guddoomiyaha gobolka banaadir taabit cabdi maxamed guddoomiyaasha labada degmo ee caawa ciyaareysay masuuliyiinta xiriirka kubaddacagta soomaaliya dad dhow hal million qof daawaneysay kulankii caawa ahaa mid xamaasad leh bilowday xiriirka kubaddacagta adduunka ee fifa boggaadiyay hormarka soomaaliya jira ee dhinaca ciyaaraha hiiraan online hassan istiila mogadishusomalia,HUMAN,HUMAN,Unknown
qoraal aad ballaaran falanqeynaya munaasabaddaas saameynta leedahay bulshada degmada hawlwadaag guud ahaan qorshaha fog ee wasaaradda waxbarashada soomaaliya horumarinta waxbarashada dhagaxdhigga dugsiga sare ee hawlwadaag dibufurashada iskuullada dowladda hordhac maalin taariikhi gobolka banaadir magaalada muqdisho gaar ahaan degmada hawlwadaag maanta martigelisay munaasabad weyn dhabaha xaareysa mustaqbalka jiilka soo kacaya wasiirka waxbarashada hiddaha tacliinta sare ee xukuumadda federaalka soomaaliya mudane cabdullaahi goodax barre rasmi dhagaxdhigay dhismaha dugsi sare yeelan doonto degmada hawlwadaag tallaabadan qayb qorshe ballaaran dowladda soomaaliya dooneyso inay dib ugu soo celiso adeegyadii waxbarasho ee bixin jirtay dowladda kaaftoomo iskuullada gaarka leeyahay inta badan bulshada danyarta aysan awoodin munaasabadda xarigjarka kaqaybgalayaasha dhagaxdhigga dugsiga sare sokow sidoo kale xarigga laga jaray laba dugsi muhiim kuwaas dugsiga hoosedhexe ee hawlwadaag dugsiga xasan qariidi labadan iskuul lagu sameeyay dayactir ballaaran casri helaan ardaydu jawi waxbarasho degan munaasabadda wasiirka wehlinayay masuuliyiin miisaan culus leh dowladda saaxiibbada caalamiga mid yihiin wasiirka qorsheynta xiriirka caalamiga mudane amb jamaal maxamed xasan wakiilka midowga yurub pinji gardiyola masuuliyiin socday hayadda adra hayadda gacanta gaysatay fulinta mashaariicdan maamulka degmada qaybaha bulshada kuwaas weyn soo dhoweeyay horumarkan fariinta wasiirka qorsheynta dibudhiska qaranka wasiirka qorsheynta amb jamaal maxamed xasan munaasabadda hadlay hoosta xariiqay horumarka dalku uu xiran yahay tayada waxbarashada uu sheegay xukuumadda federaalka soomaaliya xfs mudnaanta koowaad siineyso dib soo nooleeyo iskuulladii dowladda ee burburay dagaalladii sokeeye ma jirto dowlad dhismi karta iyada aan dhisin maskaxda dhalinyaradeeda ayuu yiri wasiir jamaal uu intaas daray wasaaraddiisu shaqaynayso sidii heli lahaa maalgashi caalami lagu horumarinayo kaabayaasha waxbarashada dalka carruurta soomaaliyeed helaan xuquuqdooda dastuuriga ee waxbarasho lacag laaan taageerada caalamiga doorka midowga yurub adra madaxa midowga yurub pinji gardiyola ammaanay dadaalka dowladda soomaaliya ugu jirto kor qaadista aqoonta uu caddeeyay midowga yurub uu yahay saaxiib dhow mar walba garab taagan soomaaliya gaar ahaan dhinaca horumarinta aadanaha gardiyola uu xusay dayactirka iskuullada hawlwadaag xasan qariidi yihiin miro dhashay iskaashiga dowladda deeqbixiyeyaasha dhankooda hayadda adra lagu ammaanay doorka qaadatay fulinta kormeerka mashaariicdan iyadoo hubinayo dhismahu uu mid yahay kuwa caalamiga dardaranka wasiir goodax barre tayada macallinka ardayga wasiirka waxbarashada cabdullaahi goodax barre ahaa martida sharafta leh ee munaasabadda khudbad dhinacyo badan taabaneysa jeediyay goobta uu farta fiiqay dhibaatada ugu weyn ee haysatay ardayda degmada hawlwadaag ahayd markii dhamaystaan dugsiga dhexe waayeen dugsi sare dowladeed waxbarashadooda sii wataan maanta maalin guul degmada hawlwadaag ardaydu ma aadi doonaan degmooyin fogfog raadsadaan dugsi sare waayo waxaan halkan dhagaxdhignay midkoodii ayuu yiri wasiirka uu sidoo kale hadlay arrimaha tayada soo saarista macallimiin tayo leh wasiirka sheegay dhismaha iskuulku uusan filnayn balse baahan yahay macallimiin aqoon xirfad leh inay bixiyaan casharo tayo leh manhajka midaysan uu xusay wasaaraddu dadaal ugu jirto hirgelinta manhajka qaranka mideeyo garaadka ardayda soomaaliyeed soo celinta hantida qaranka wasiirku cad sheegay inay dowladda goan tahay gacanta dowladda lagu soo celiyo dhammaan dhulalkii dhismooyinkii iskuullada ee dowladda lahayd saameynta bulshada kaguulgaaridda caqabadaha degmada hawlwadaag mid mid degmooyinka ugu dadka badan gobolka banaadir sanadihii soo dhaafay waalidiin badan cabanayay qarashka badan ee iskuullada gaarka taas keentay carruur badan haraan waxbarashada markii gaaraan heerka dugsiga sare dhagaxdhiggan cusub rajo geliyay kumanaan qoys danyar sida uu wasiirku sheegay helitaanka dugsi sare degmada dhexdeeda ma aha kaliya mid dhaqaale balse mid dhinaca amniga maadaama ardaydu aysan baahnaan doonin inay maraan waddooyin fogfog qorshaha mustaqbalka ee wasaaradda wasaaradda waxbarashada ee uu hoggaaminayo cabdullaahi goodax barre muddadii dambe xoogga saaraysay saddex tiir muhiim tayeynta imtixaanka midaysan ee qaranka joogteeyay baahinta degmo kasta dalka hesho iskuul dowladeed aqoonsiga shahaadada soomaaliya noqoto mid caalamku aqoonsan yahay dadaalladan muuqdaan kuwo dhabaha xaaraya soomaaliya dib hesho nidaamkii waxbarasho ee lagu yaqiinnay kaas ahaa mid lacag laaan qof kasta furan gunaanad munaasabaddan dhacday degmada hawlwadaag astaan tahay dibusookabashada dowladnimada soomaaliya dhagaxdhigga dugsiga sare dayactirka iskuullada kale ma aha kaliya dhismo leben shamiito balse dhismo mustaqbal sida uu sheegay wasiir goodax barre maanta bilowga isbeddel weyn filayaa dhismaha dugsigan sare dhammaado uu noqon doono xarun aqooneed soo saarta hoggaamiyeyaasha barito ee dalka bulshada reer hawlwadaag guud ahaan gobolka banaadir horyaalla inay ilaashadaan hantidan qaran dowladduna hubiso adeegga laga bixinayo uu yahay mid tayo sare leh,AI,AI,Unknown
