model,train_accuracy
AfriBERTa_FineTuned,0.8390213299874529
AfroXLMR_FineTuned,0.7991217063989963
BiLSTM_FastText,0.8702634880803012
BiLSTM_Keras,0.9490589711417817
BiLSTM_MultilingualEmbeddings,0.6141781681304893
BiLSTM_Word2Vec,0.867754077791719
LinearSVC_TFIDF,0.9970032034721504
LogisticRegression_TFIDF,0.9451276221969619
MiniTransformer_Keras,0.9647427854454204
RandomForest_TFIDF,1.0
SomBERTa_FineTuned,0.8560853199498117
XGBoost_TFIDF,0.8535703213805932
XLMRoberta_FineTuned,0.7065244667503137
mBERT_FineTuned,0.6736511919698871
