experiment,family,model,accuracy,precision,recall,f1,macro_f1
experiment_1_stopwords_included,traditional_ml,LinearSVC_TFIDF,0.9631,0.9632,0.9631,0.9631,0.9631
experiment_1_stopwords_included,traditional_ml,LogisticRegression_TFIDF,0.9506,0.9509,0.9506,0.9505,0.9505
experiment_1_stopwords_included,transformers,MiniTransformer_Keras,0.9443,0.9444,0.9443,0.9443,0.9443
experiment_1_stopwords_included,traditional_ml,XGBoost_TFIDF,0.9404,0.9405,0.9404,0.9404,0.9404
experiment_2_stopwords_removed,traditional_ml,LinearSVC_TFIDF,0.9529,0.953,0.9529,0.9529,0.9529
experiment_2_stopwords_removed,traditional_ml,LogisticRegression_TFIDF,0.9482,0.9484,0.9482,0.9481,0.9481
experiment_2_stopwords_removed,deep_learning,BiLSTM_Keras,0.9357,0.9357,0.9357,0.9357,0.9357
experiment_2_stopwords_removed,traditional_ml,XGBoost_TFIDF,0.9349,0.935,0.9349,0.9349,0.9349
experiment_2_stopwords_removed,transformers,MiniTransformer_Keras,0.9294,0.9295,0.9294,0.9293,0.9293
experiment_1_stopwords_included,deep_learning,BiLSTM_Keras,0.9286,0.9286,0.9286,0.9286,0.9286
experiment_1_stopwords_included,traditional_ml,RandomForest_TFIDF,0.9051,0.9055,0.9051,0.9047,0.9047
experiment_2_stopwords_removed,deep_learning,BiLSTM_FastText,0.8957,0.8958,0.8957,0.8954,0.8954
experiment_1_stopwords_included,deep_learning,BiLSTM_Word2Vec,0.8965,0.8966,0.8965,0.8962,0.8962
experiment_2_stopwords_removed,traditional_ml,RandomForest_TFIDF,0.8941,0.8945,0.8941,0.8936,0.8936
experiment_1_stopwords_included,deep_learning,BiLSTM_FastText,0.8871,0.8872,0.8871,0.8870,0.8870
experiment_2_stopwords_removed,deep_learning,BiLSTM_Word2Vec,0.8698,0.8699,0.8698,0.8696,0.8696
experiment_1_stopwords_included,transformers,AfriBERTa_FineTuned,0.8783,0.8786,0.8783,0.878,0.8779
experiment_2_stopwords_removed,transformers,AfriBERTa_FineTuned,0.8703,0.8706,0.8703,0.8703,0.8702
experiment_2_stopwords_removed,transformers,SomBERTa_FineTuned,0.8623,0.8627,0.8623,0.8616,0.8615
experiment_1_stopwords_included,transformers,SomBERTa_FineTuned,0.8567,0.8572,0.8567,0.8557,0.8556
experiment_2_stopwords_removed,transformers,AfroXLMR_FineTuned,0.8157,0.816,0.8157,0.8157,0.8156
experiment_1_stopwords_included,transformers,AfroXLMR_FineTuned,0.8066,0.807,0.8066,0.8061,0.806
experiment_1_stopwords_included,transformers,XLMRoberta_FineTuned,0.764505119453925,0.7651358216233555,0.764505119453925,0.7641996948649004,0.7640164401114856
experiment_2_stopwords_removed,transformers,XLMRoberta_FineTuned,0.7417519908987485,0.7689802518349136,0.7417519908987485,0.7360557621286833,0.7366794368115372
experiment_1_stopwords_included,transformers,mBERT_FineTuned,0.6769,0.6774,0.6769,0.6765,0.6764
experiment_2_stopwords_removed,transformers,mBERT_FineTuned,0.595,0.596,0.595,0.5674,0.5673
