feature,mean_abs_shap
word__weyn,0.03139363053700778
word__dalka,0.021601271524600625
word__isagoo,0.021508123446730126
word__kamid,0.01942818028470475
word__halkaas,0.01908345838793521
word__waxa,0.018610908559441322
word__hadda,0.017399658818977082
word__muhiim,0.01722869266673802
word__iyadoo,0.01552494860929758
word__wax,0.014787314810626648
word__rasmi,0.013994388823722191
word__madaxweynaha,0.013578405553961545
word__gaar ahaan,0.013562295856236292
word__adag,0.01210046587790744
word__leh,0.011446414672094299
word__kasta,0.011409149459700531
word__yiri,0.011376190470031071
word__maadaama,0.011207446350126615
word__mid mid,0.010758545891660332
word__laba,0.010592331084489806
word__joogto,0.010450460730615901
word__soo,0.010447609629667187
word__weli,0.010384430792446024
word__cad,0.010322378733655515
word__kala duwan,0.010268518182783213
word__xaaladda,0.010155229027215525
word__sii,0.01006760658594426
word__qaran,0.009958074252783153
word__kaddib,0.009897068315631951
word__magaalada muqdisho,0.009886118666845491
word__sheegtay,0.009832858112181882
word__kala,0.009826154016946882
word__isla markaana,0.009725507854547687
word__ugu,0.009687963685361317
word__saabsan,0.0095927334377643
word__hadlay,0.009521659159905433
word__ardayda,0.009407734065112494
word__sheegay inay,0.009360174504376264
word__dambeeyay,0.009344502527658357
word__inta,0.009269214291071123
word__hiiraan online,0.009126063268662419
word__cusub,0.009086224035676563
word__afrika,0.008879251571202854
word__ururka,0.008730586695042616
word__degdeg,0.008698913245980317
word__looga,0.008524806634097907
word__inuu,0.008468896917538507
word__kara,0.008430501301831216
word__madaxweyne,0.008424736386327287
word__magalada,0.008275679079292471
word__dhab,0.008269298380942222
word__war,0.008202662493245378
word__siyaasadeed,0.008163329004665319
char__ey ,0.00813168417820579
word__wasaaraha,0.008125585381162016
word__lagu soo,0.008102052850865146
char__du ,0.008012333963105338
word__yimid,0.007916053743692246
word__duwan,0.007868595296840883
word__barcelona,0.007834877374560864
word__dhex,0.007796783512497597
word__iska,0.0077738729143920215
word__gaar,0.007636960874587107
word__aan,0.0075555829177921556
word__karaan,0.0075285094547220665
word__badan,0.007478701882760033
word__online,0.007347625535070897
word__mr,0.007319117984496723
word__kulanka,0.007309245762479678
word__laga,0.007284160512723037
word__qaar,0.007250925063422877
word__sameeyay,0.00718272189387671
word__wasaaradda waxbarashada,0.00715921892578478
word__jiraan,0.0071144692200190264
word__arkaa,0.007069496311232343
word__muujinaysa,0.007057184400556686
word__ugu weyn,0.006998000622086869
word__usoo,0.006904707783972277
word__sidii,0.006886448198049183
word__ciidamada,0.006864566136336851
word__xusay,0.006863377264157207
word__ardaydu,0.0067109457694537935
word__muujisay,0.006654842037014502
word__leeyahay,0.006479146354452561
word__kooxda,0.006467648124780453
word__ahayd,0.006411071806942264
word__loo arkaa,0.00640710050836493
word__hore,0.006360538245283712
char__ dalk,0.006354787924806058
word__soo dhaafay,0.0063461776671742305
word__mid,0.0063435985975128
char__weyn ,0.006343413734788714
char__ weyn,0.006276439426282856
word__halka,0.0062394940336428905
char__ muuj,0.006175979534662293
char__muuji,0.006126506498741624
char__muuj,0.006123023279269594
char__ muu,0.0060943124974901074
char__uuji,0.006064483956287575
char__uuj,0.0060593185010807925
