feature,importance,class_label
weyn,1.862549948539763,AI
muhiim,1.3060078419453933,AI
qoraalka dhigay,1.188368244135028,AI
halkaas,1.0941948718669008,AI
ilaalinayo,1.0580152521239152,AI
gaar,1.0087138930508686,AI
tallaabadan,0.9857435790296953,AI
ku ,0.912708799713217,AI
iyagoo,0.9126420245416687,AI
rasmi,0.9083912821293215,AI
adag,0.8896455465035656,AI
dhowaad,0.8806159269135105,AI
qoraalka,0.8715362464874439,AI
macnaha,0.8679323123118555,AI
caan,0.8486147994052304,AI
jumlada,0.8413211102077499,AI
kaloo,0.8389100903352412,AI
qoraalkii,0.8285617423694488,AI
dhererka,0.8054087010515703,AI
xusay,0.8001291281036442,AI
halka,0.793455839567632,AI
du ,0.7736504155131837,AI
dhawr,0.7605938611529282,AI
caasimad,0.7576507056265678,AI
muujinaysa,0.7491278886222761,AI
cad,0.7399174754479523,AI
rasmiga,0.739109324237439,AI
 weyn ,0.7323615374014357,AI
 muuji,0.7238300985370458,AI
 muuj,0.7213583688347869,AI
xaqiijisay,0.720734507755051,AI
wasiirku,0.7167705329198311,AI
muuji,0.7123282730818825,AI
muuj,0.7098605106415607,AI
caddeeyay,0.7068895529137742,AI
muujinaya,0.6980361058857335,AI
dhab,0.697554489106569,AI
uuji,0.690120709137167,AI
uuj,0.6861029510498163,AI
muqdisho maanta,0.6847457586162687,AI
 weyn,0.6843053398063591,AI
joogto,0.6703740187699744,AI
toos,0.6671959188834862,AI
sannadka,0.6668499007999215,AI
ciidamadu,0.6603868968357971,AI
gunaanad,0.65870062684422,AI
ays,0.6583408461335507,AI
weyn ,0.6498600668247224,AI
uji,0.6496191905255831,AI
ardaydu,0.6471757810546376,AI
xayeysiisyo,1.6297071450186362,HUMAN
jeedinaya,1.1701246497861677,HUMAN
na ,1.143262222826593,HUMAN
mida,0.9186850571654762,HUMAN
wasiirka wasaaradda,0.898140909958756,HUMAN
ey ,0.8975348230317218,HUMAN
asi ,0.8759789140870351,HUMAN
ney,0.8734187475102752,HUMAN
aasi ,0.8686292553111319,HUMAN
hiiraan online,0.8493649200714484,HUMAN
ba ,0.8438474271351554,HUMAN
ayey,0.8377465178745375,HUMAN
yiri,0.8335183268553844,HUMAN
 hey,0.8269539196567679,HUMAN
halkaasi,0.817446829030463,HUMAN
tignoolajiyada,0.809391843338318,HUMAN
ana ,0.8069657521432353,HUMAN
halkaan,0.8004360485020704,HUMAN
xigtay,0.7967520825369493,HUMAN
caafimadka,0.7846428827259329,HUMAN
aye,0.7791550954737633,HUMAN
voada,0.7425655274111393,HUMAN
wayn,0.7403040887758722,HUMAN
magalada,0.739597121841068,HUMAN
online muqdisho,0.7329875617991194,HUMAN
marayo,0.7263466129620394,HUMAN
no ,0.7229700136669959,HUMAN
aheyd,0.7139290806910102,HUMAN
waxa,0.7087968656454736,HUMAN
hada,0.6827349828266825,HUMAN
somalia,0.6819289683314185,HUMAN
xukuumadda soomaaliya,0.6769392735494476,HUMAN
wasaarada,0.6764637112990475,HUMAN
eys,0.6762863216417037,HUMAN
degaanka,0.6751682079134793,HUMAN
hey,0.6696252252991239,HUMAN
ane,0.6586363981925126,HUMAN
yey,0.6556364726804966,HUMAN
aana ,0.6507596132274699,HUMAN
online,0.6495063309958491,HUMAN
xili,0.6413194924061353,HUMAN
raaciyay,0.6397280658104855,HUMAN
na,0.6238172269870568,HUMAN
mr,0.6212921505376817,HUMAN
dowladda soomaaliya,0.6198021490360617,HUMAN
xfs,0.6165443230554775,HUMAN
qaban,0.6130987445036671,HUMAN
kaasi,0.6123204792406332,HUMAN
waraystay,0.6045338133842628,HUMAN
xigeenka,0.6040252982482117,HUMAN
